1401984820276830208,BitconBot,1349533110606716930,I'm a hobby  for fun. Powered by CoinDesk,2021-06-07 19:30:03+00:00,2021-06-07 19:30:03+00:00,"Current Bitcoin Price:
USD $35,445.79
GBP PS24,990.10
Euro EUR29,065.94
#bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency","['bitcoin', 'btc', 'btcusd', 'btcgbp', 'btceur', 'crypto', 'cryptocurrency']",,http://pbs.twimg.com/profile_images/1350520651178766338/ecb6A38C_normal.jpg,0,Everywhere,0,False,61,Thu Jan 14 01:46:09 +0000 2021,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">bitcoin_bot1</a>"
1401985066008449036,Parsa32438912,1283385421628678144,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,"RT @AliZ200079: @niyaidin @MajesticDrama @FEGtoken Promising huge FEG project
The happy future is in the hands of GORILLAS 
we are rooting...",[],,http://pbs.twimg.com/profile_images/1283385744724238338/7Q4f6f4z_normal.jpg,0,,0,False,16,Wed Jul 15 12:58:38 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1401985066033729549,cryptomike2k,90204952,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,"WHALE ALERT $100M
2887 #BTC ($103,129,000.00 USD) transferred from wallet #UNKNOWN to #UNKNOWN

Transaction... https://t.co/fAmyOY8ItC","['BTC', 'UNKNOWN', 'UNKNOWN']",,http://pbs.twimg.com/profile_images/1391909375112056836/NDjjYhsO_normal.jpg,0,"Brooklyn, NY",0,False,208,Sun Nov 15 17:28:13 +0000 2009,,"<a href=""http://www.smashgadget.com"" rel=""nofollow"">Smash Gadget</a>"
1401985066419601415,AnthropoceneM,1224078440179163138,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,"RT @Tontolao1: Woohoo 

BREAKING NEWS

President Joe Biden and Vice President Kamala Harris DOJ has recovered MILLIONS OF DOLLARS in Crypto...",[],,http://pbs.twimg.com/profile_images/1224078958720946176/HQekEKAe_normal.jpg,0,,0,False,13693,Sun Feb 02 21:14:09 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1401985066813870084,RedwoodCPatch,209088136,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,"According to Sharks President Jonathan Becher, the team will take cryptocurrency payments for season tickets, suite... https://t.co/JkmOMi4apM",[],,http://pbs.twimg.com/profile_images/938436122291535873/Pic1mwDk_normal.jpg,0,"Redwood City, CA",0,False,2795,Thu Oct 28 13:55:03 +0000 2010,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>"
1401985068453797891,fatme13910106,1375542739094269964,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,"RT @ArtiChain: How does ArtiChain work?

https://t.co/BAeZx4phfG

#BSC #BNB #DEFI #Binance #cryptocurrency #blockchain #business #blockchai...","['BSC', 'BNB', 'DEFI', 'Binance', 'cryptocurrency', 'blockchain', 'business']",,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,,0,False,0,Fri Mar 26 20:21:06 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1401985068814438405,tron_age,37983966,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,"Three potential bearish catalysts for SafeMoon this week

#blockchain #dlike #cryptocurrency
https://t.co/ipih3gk22h","['blockchain', 'dlike', 'cryptocurrency']",,http://pbs.twimg.com/profile_images/1082867512231018496/DqcW8lDY_normal.jpg,0,USA,0,False,7006,Tue May 05 18:24:01 +0000 2009,,"<a href=""http://www.btcinbtc.com/"" rel=""nofollow"">BTCinBTC</a>"
1401985068831318028,BrandiCainAR,874440009268342784,2021-06-07 19:31:02+00:00,2021-06-07 19:31:02+00:00,RT @AP: BREAKING: A law enforcement official says U.S. officials have seized millions of dollars in cryptocurrency paid as ransom after the...,[],,http://pbs.twimg.com/profile_images/1372220557513650179/LL6-MdCa_normal.jpg,0,"Arkansas, USA",0,False,242,Tue Jun 13 01:35:19 +0000 2017,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
